Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref
PDUST	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDUSTii	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDUSTis	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDUSTot	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuAlIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuAlSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuCaIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuCaSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuFeIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuFeSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuKpIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuKpSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuMgIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuMgSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuMnIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuMnSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuOT	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuPhIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuPhSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuSiIn	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuSiSo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuCalc	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuChlo	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuFeld	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuGoet	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuGyps	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuHema	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuIlli	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuKaol	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuMica	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuOT	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuQuar	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuSmec	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PDuVerm	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
PSPORE	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.3D-06	0	--	-	0.	0.	0.	298.0d0
PSALT	1	5	59.5	--	1.000D10	1.000D10	0.D0	1.0	2.1D-06	0	--	-	0.	0.	0.	298.0d0
POCAR-BB	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.3D-06	0	--	-	0.	0.	0.	298.0d0
POCAR-BF	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.3D-06	0	--	-	0.	0.	0.	298.0d0
POCAR-FF	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.3D-06	0	--	-	0.	0.	0.	298.0d0
PPM	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	2.3D-06	0	--	-	0.	0.	0.	298.0d0
POCAR	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.3D-06	0	--	-	0.	0.	0.	298.0d0
PBCAR	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.8D-06	0	--	-	0.	0.	0.	298.0d0
PNA	3	1	23.0	--	1.000D10	1.000D10	0.D0	1.0	1.0D-06	0	--	-	0.	0.	0.	298.0d0
PSO4	3	1	98.0	SULF	77.3d0	5.5d0	80.D-03	1.0	1.8D-06	1	--	-	0.	0.	0.	298.0d0
PNH4	3	1	17.0	NH3	558.3d0	2.9d0	80.D-03	1.0	1.7D-06	0	--	-	0.	0.	0.	298.0d0
PNO3	3	1	63.0	HNO3	475.9d0	3.3d0	80.D-03	1.0	1.7D-06	0	--	-	0.	0.	0.	298.0d0
PHCL	3	1	36.5	HCL	344.7d0	3.339d0	80.D-03	1.0	1.5D-06	0	--	-	0.	0.	0.	298.0d0
PBIRCHPOL	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.2D-06	0	--	-	0.	0.	0.	298.0d0
PRAGWDPOL	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.2D-06	0	--	-	0.	0.	0.	298.0d0
POLIVEPOL	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	0.8D-06	0	--	-	0.	0.	0.	298.0d0
PGRASSPOL	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.2D-06	0	--	-	0.	0.	0.	298.0d0
PALDERPOL	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	1.2D-06	0	--	-	0.	0.	0.	298.0d0
PSOA	4	3	250.0	SOA	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-15	0.	0.	300.0d0
PASOA1	4	3	150.0	ASOA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-07	30.0d0	0.	300.0d0
PASOA2	4	3	150.0	ASOA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-06	30.0d0	0.	300.0d0
PASOA3	4	3	150.0	ASOA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-05	30.0d0	0.	300.0d0
PASOA4	4	3	150.0	ASOA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-04	30.0d0	0.	300.0d0
PBSOA1	4	2	180.	BSOA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-07	30.0d0	0.	300.0d0
PBSOA2	4	2	180.	BSOA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-06	30.0d0	0.	300.0d0
PBSOA3	4	2	180.	BSOA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-05	30.0d0	0.	300.0d0
PBSOA4	4	2	180.	BSOA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.15D-04	30.0d0	0.	300.0d0
POPOA1	4	3	250.	OPOA1	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-09	112.0d0	0.	298.0d0
POPOA2	4	3	250.	OPOA2	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-08	106.0d0	0.	298.0d0
POPOA3	4	3	250.	OPOA3	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-07	100.0d0	0.	298.0d0
POPOA4	4	3	250.	OPOA4	687.d0	8.39d0	30.D-03	1.0	1.50D-06	0	HPHO	-	1.24D-06	94.0d0	0.	298.0d0
