#Name	Type	group ID	MW	Precursor	coll_fac	mole_diam	surf_tens	accomod	mass_dens	non-volatile	partitioning	smiles	psat_torr	dHvap	Henry	Tref	irr_name	 kirreversible
PMD	1	5	28.0	--	1.000D10	1.000D10	0.D0	1.0	2.33D-06	0	--	-	0.	0.	0.	0.	--	0.
PBC	2	4	12.0	--	1.000D10	1.000D10	0.D0	1.0	2.25D-06	0	--	-	0.	0.	0.	0.	--	0.
PNA	3	1	23.0	--	1.000D10	1.000D10	0.D0	1.0	0.97D-06	0	--	-	0.	0.	0.	0.	--	0.
PSO4	3	1	98.0	SULF	77.3d0	5.5d0	80.D-03	1.0	1.84D-06	1	--	-	0.	0.	0.	0.	--	0.
PNH4	3	1	17.0	NH3	558.3d0	2.9d0	80.D-03	1.0	0.91D-06	0	--	-	0.	0.	0.	0.	--	0.
PNO3	3	1	63.0	HNO3	475.9d0	3.3d0	80.D-03	1.0	1.50D-06	0	--	-	0.	0.	0.	0.	--	0.
PHCL	3	1	36.5	HCL	344.7d0	3.339d0	80.D-03	1.0	1.15D-06	0	--	-	0.	0.	0.	0.	--	0.
PBiMT	4	2	136.0	BiMT	687.d0	8.39d0	30.D-03	1.0	1.30D-06	0	HPHI	-	0.	0.	0.	0.	--	0.
PSOAlP	4	3	280.0	SOAlP	687.d0	8.39d0	30.D-03	1.0	1.30D-06	0	HPHO	-	0.	0.	0.	0.	--	0.
PBCARY	4	2	204.35	BCARY	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.39E-03	7.44E+01	0.	0.	--	0.
PBCALBOC	4	2	252.35	BCALBOC	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.02E-05	9.29E+01	0.	0.	--	0.
PC141CO2H	4	2	252.35	C141CO2H	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.75E-08	1.14E+02	0.	0.	--	0.
PNBCOOH	4	2	299.36	NBCOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.07E-09	1.19E+02	0.	0.	--	0.
PBCAL	4	2	236.35	BCAL	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	3.03E-05	9.11E+01	0.	0.	--	0.
PBCBNO3	4	2	283.36	BCBNO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.66E-08	1.12E+02	0.	0.	--	0.
PBCSOZ	4	2	252.35	BCSOZ	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.16E-04	8.24E+01	0.	0.	--	0.
PBCAOOH	4	2	254.37	BCAOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.21E-09	1.18E+02	0.	0.	--	0.
PBCANO3	4	2	283.36	BCANO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.66E-08	1.12E+02	0.	0.	--	0.
PBCAOH	4	2	238.37	BCAOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	4.43E-08	1.11E+02	0.	0.	--	0.
PBCBOOH	4	2	254.37	BCBOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	5.21E-09	1.18E+02	0.	0.	--	0.
PBCBCO	4	2	236.35	BCBCO	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.19E-07	1.05E+02	0.	0.	--	0.
PBCCOOH	4	2	254.37	BCCOOH	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.25E-09	1.21E+02	0.	0.	--	0.
PBCCNO3	4	2	283.36	BCCNO3	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	1.33E-08	1.14E+02	0.	0.	--	0.
PBCKET	4	2	206.32	BCKET	6.87E+02	8.39E+00	3.00E-02	1.00E+00	1.30E-06	0	BOTH	-	2.10E-04	8.24E+01	0.	0.	--	0.
