22 (JX_spec.dat)  Scattering phase fns, scale extinct @ 999 nm  (mjp 3/07)
ATAU   250     1.120     0.010  sub-layers: max#, factor layer:layer, min dtau
 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
01 RAYLE  = Rayleigh phase
  300   123.5  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  400    39.1  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  600     7.7  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
  999     1.0  0.001  1.0000  1.000   0.0 0.500   0.0   0.0   0.0   0.0   0.0
02 ISOTR  = isotropic
  300     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  400     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  600     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  999     1.0  0.001  1.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
03 ABSRB  = fully absorbing 'soot',(m2/g) from Loiusse et al.JGR,1996 ? 999nm
  300    10.0  0.001  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  400     9.0  0.001  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  600     6.5  0.001  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
  999     6.5  0.001  0.0000  1.000   0.0   0.0   0.0   0.0   0.0   0.0   0.0
04 S_Bkg = backgrnd stratospheric sulfate (n=1.46, log-norm: r=.09um/sigma=.6)
  300  2.7541  0.221  1.0000  1.000 2.157 2.767 2.627 2.457 2.098 1.792 1.518
  400  2.4017  0.221  1.0000  1.000 2.146 2.641 2.422 2.122 1.709 1.357 1.070
  600  1.6454  0.221  1.0000  1.000 2.076 2.377 2.023 1.608 1.177 0.846 0.599
  999  0.7449  0.221  1.0000  1.000 1.877 1.920 1.412 0.970 0.614 0.388 0.238
05 S_Vol = volcanic stratospheric sulfate (n=1.46, log-norm: r=.08um/sigma=.8)
  300  2.6437  0.386  1.0000  1.000 2.152 2.901 2.856 2.971 2.772 2.709 2.587
  400  2.5603  0.386  1.0000  1.000 2.142 2.810 2.706 2.691 2.421 2.254 2.066
  600  2.2221  0.386  1.0000  1.000 2.127 2.673 2.488 2.308 1.963 1.698 1.461
  999  1.5319  0.386  1.0000  1.000 2.076 2.458 2.165 1.841 1.449 1.142 0.898
06 W_H01 = water haze (H1/Deirm.) (n=1.335, gamma:  r-mode=0.1um / alpha=2)
  300  2.8438   0.25  1.0000  1.000 2.454 3.376 3.624 3.608 3.300 2.911 2.526
  400  2.3497   0.25  1.0000  1.000 2.431 3.235 3.355 3.108 2.686 2.180 1.690
  600  1.4037   0.25  1.0000  1.000 2.328 2.789 2.593 2.062 1.492 1.013 0.632
  999  0.5034   0.25  1.0000  1.000 1.916 1.870 1.233 0.704 0.338 0.154 0.062
07 W_H04 = water haze (H1/Deirm.) (n=1.335, gamma:  r-mode=0.4um / alpha=2)
  300  2.2995   1.00  1.0000  1.000 2.433 3.625 4.104 4.645 5.020 5.409 5.802
  400  2.4743   1.00  1.0000  1.000 2.341 3.475 3.863 4.330 4.589 4.878 5.125
  600  2.6719   1.00  1.0000  1.000 2.325 3.334 3.624 3.896 3.939 3.968 3.964
  999  2.9565   1.00  1.0000  1.000 2.434 3.393 3.685 3.709 3.528 3.213 2.903
08 W_C02 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=2.0um / alpha=6)
  300  2.1410   3.00  1.0000  1.000 2.544 3.886 4.572 5.256 5.933 6.530 7.291
  400  2.1778   3.00  1.0000  1.000 2.513 3.834 4.480 5.160 5.785 6.356 7.044
  600  2.2287   3.00  1.0000  1.000 2.483 3.767 4.359 4.998 5.542 6.054 6.639
  999  2.3071   3.00  1.0000  1.000 2.395 3.597 4.063 4.648 5.052 5.478 5.857
09 W_C04 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=4.0um / alpha=6)
  300  2.0835   6.00  1.0000  1.000 2.596 3.973 4.725 5.406 6.129 6.751 7.607
  400  2.1064   6.00  1.0000  1.000 2.571 3.936 4.660 5.345 6.056 6.670 7.492
  600  2.1345   6.00  1.0000  1.000 2.557 3.902 4.596 5.263 5.923 6.507 7.267
  999  2.1922   6.00  1.0000  1.000 2.499 3.799 4.418 5.081 5.667 6.213 6.851
10 W_C08 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=8.0um / alpha=6)
  300  2.0539  12.00  1.0000  1.000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
  400  2.0643  12.00  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  600  2.0883  12.00  1.0000  1.000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
  999  2.1236  12.00  1.0000  1.000 2.563 3.917 4.625 5.302 5.992 6.593 7.385
11 W_C13 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=13.3um / alpha=6)
  300  2.0440  20.00  1.0000  1.000 2.627 4.026 4.822 5.499 6.264 6.907 7.833
  400  2.0529  20.00  1.0000  1.000 2.620 4.014 4.800 5.477 6.234 6.872 7.783
  600  2.0716  20.00  1.0000  1.000 2.604 3.990 4.755 5.435 6.178 6.807 7.690
  999  2.0978  20.00  1.0000  1.000 2.585 3.955 4.691 5.368 6.077 6.688 7.520
12 W_L06 = water cloud (Lacis) (n=1.335, r-mode=5.5um / alpha=11/3)
  300  2.0616  10.00  1.0000  1.000 2.613 4.002 4.779 5.458 6.205 6.839 7.735
  400  2.0747  10.00  1.0000  1.000 2.601 3.984 4.745 5.425 6.158 6.785 7.657
  600  2.1005  10.00  1.0000  1.000 2.580 3.947 4.679 5.359 6.070 6.684 7.514
  999  2.1423  10.00  1.0000  1.000 2.545 3.884 4.568 5.244 5.909 6.496 7.250
13 Ice-H = hexagonal ice cloud (Mishchenko)
  300  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  400  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  600  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
  999  2.0000    67.  1.0000  1.000 2.435 3.712 4.756 5.960 6.908 7.865 8.954
14 Ice-I = irregular ice cloud (Mishchenko)
  300  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  400  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  600  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
  999  2.0000    50.  1.0000  1.000 2.257 3.164 4.096 5.088 6.018 6.897 7.794
15 Mdust 0.15 = mineral dust (R.V.Martin)
  300  3.0039  0.150   0.884  1.000 2.030 2.363 2.082 1.710 1.290 0.941 0.638
  400  2.4763  0.150   0.937  1.000 1.988 2.151 1.735 1.248 0.809 0.503 0.279
  600  1.2768  0.150   0.979  1.000 1.816 1.675 1.075 0.604 0.281 0.132 0.049
  999  0.3595  0.150   0.958  1.000 1.320 0.994 0.377 0.126 0.031 0.008 0.001
16 Mdust 0.25 = mineral dust (R.V.Martin)
  300  2.9406  0.250   0.820  1.000 2.046 2.643 2.593 2.634 2.406 2.244 1.944
  400  3.1046  0.250   0.913  1.000 2.021 2.486 2.264 2.047 1.671 1.362 1.039
  600  2.6144  0.250   0.980  1.000 2.026 2.296 1.926 1.470 1.013 0.668 0.403
  999  1.2426  0.250   0.974  1.000 1.824 1.689 1.087 0.611 0.286 0.134 0.050
17 Mdust 0.4 = mineral dust (R.V.Martin)
  300  2.6069  0.400   0.739  1.000 2.192 3.070 3.393 3.903 4.021 4.248 4.168
  400  2.8244  0.400   0.860  1.000 2.027 2.711 2.679 2.900 2.734 2.723 2.478
  600  3.1156  0.400   0.971  1.000 2.017 2.537 2.306 2.136 1.761 1.466 1.151
  999  2.4773  0.400   0.975  1.000 2.036 2.286 1.903 1.428 0.966 0.623 0.368
18 Mdust 0.8 = mineral dust (R.V.Martin)
