(fort10_06b) UCI J-v8.4 (4/06) JPL026+irHNO4+IUPAC/NO2/VOC+Blitz +flux2006     
NW-JValues   36   36   18    1   18  NJVAL,NQQQ, NWWW, NW1:NW2=01:18 or 12:18
w-eff (nm)      187.      191.      193.      196.      202.      208.
                211.      214.      261.      267.      277.      295.
                303.      310.      316.      333.      380.      574.
SOL#/cm2/s 1.391E+12 1.627E+12 1.664E+12 9.278E+11 7.842E+12 4.680E+12
           9.918E+12 1.219E+13 6.364E+14 4.049E+14 3.150E+14 5.889E+14
           7.678E+14 5.045E+14 8.902E+14 3.853E+15 1.547E+16 2.131E+17
Raylay cm2 5.073E-25 4.479E-25 4.196E-25 3.906E-25 3.355E-25 2.929E-25
           2.736E-25 2.581E-25 1.049E-25 9.492E-26 8.103E-26 6.131E-26
           5.422E-26 4.923E-26 4.514E-26 3.643E-26 2.087E-26 3.848E-27
O2     180 1.727E-21 1.989E-22 3.004E-23 9.833E-24 7.306E-24 6.835E-24
           6.243E-24 5.804E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     260 2.273E-21 3.070E-22 4.943E-23 1.408E-23 7.688E-24 6.835E-24
           6.243E-24 5.886E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O2     300 2.763E-21 4.269E-22 7.478E-23 2.100E-23 8.350E-24 6.835E-24
           6.243E-24 5.992E-24 8.662E-26 5.040E-25 4.163E-25 0.000E+00
           0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
O3_CS  218 1.312E-20 4.605E-20 1.052E-19 1.743E-19 3.301E-19 4.778E-19
           6.597E-19 9.320E-19 8.806E-18 3.535E-18 1.555E-18 7.865E-19
           2.514E-19 8.897E-20 3.782E-20 5.012E-21 5.943E-28 0.000E+00
O3_CS  298 2.554E-19 3.959E-19 4.311E-19 3.700E-19 3.433E-19 4.770E-19
           6.567E-19 9.328E-19 8.934E-18 3.642E-18 1.634E-18 8.527E-19
           2.841E-19 1.057E-19 4.531E-20 6.651E-21 5.880E-23 1.611E-21
O3_CS  300 2.554E-19 3.959E-19 4.311E-19 3.700E-19 3.433E-19 4.770E-19
           6.567E-19 9.328E-19 8.934E-18 3.642E-18 1.634E-18 8.527E-19
           2.841E-19 1.057E-19 4.531E-20 6.651E-21 5.880E-23 1.611E-21
O3O1D  218 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 4.070E-01 9.637E-02 8.000E-02 1.000E-02 1.000E-02
O3O1D  298 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 
           9.000E-01 5.200E-01 2.300E-01 8.000E-02 1.000E-02 1.000E-02
O3O1D  300 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01
           9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 9.000E-01 
           9.000E-01 5.200E-01 2.300E-01 8.000E-02 1.000E-02 1.000E-02
O3O3P  218 1.312E-21 4.605E-21 1.052E-20 1.743E-20 3.301E-20 4.778E-20
           6.597E-20 9.320E-20 8.806E-19 3.535E-19 1.555E-19 7.865E-20
